id,time,x,y
dynamic,8100,1.5708e+11,2.349e+08
planet,8160,1.496e+11,2.43005e+08
dynamic,8160,1.5708e+11,2.3664e+08
planet,8220,1.496e+11,2.44791e+08
dynamic,8220,1.5708e+11,2.3838e+08
planet,8280,1.496e+11,2.46578e+08
dynamic,8280,1.5708e+11,2.4012e+08
planet,8340,1.496e+11,2.48365e+08
dynamic,8340,1.5708e+11,2.4186e+08
planet,8400,1.496e+11,2.50152e+08
dynamic,8400,1.5708e+11,2.436e+08
planet,8460,1.496e+11,2.51939e+08
dynamic,8460,1.5708e+11,2.4534e+08
planet,8520,1.496e+11,2.53725e+08
dynamic,8520,1.5708e+11,2.4708e+08
planet,8580,1.496e+11,2.55512e+08
dynamic,8580,1.5708e+11,2.4882e+08
planet,8640,1.496e+11,2.57299e+08
dynamic,8640,1.5708e+11,2.5056e+08
planet,8700,1.496e+11,2.59086e+08
dynamic,8700,1.5708e+11,2.523e+08
planet,8760,1.496e+11,2.60873e+08
dynamic,8760,1.5708e+11,2.5404e+08
planet,8820,1.496e+11,2.62659e+08
dynamic,8820,1.5708e+11,2.5578e+08
planet,8880,1.496e+11,2.64446e+08
dynamic,8880,1.5708e+11,2.5752e+08
planet,8940,1.496e+11,2.66233e+08
dynamic,8940,1.5708e+11,2.5926e+08
planet,9000,1.496e+11,2.6802e+08
dynamic,9000,1.5708e+11,2.61e+08
planet,9060,1.496e+11,2.69807e+08
dynamic,9060,1.5708e+11,2.6274e+08
planet,9120,1.496e+11,2.71593e+08
dynamic,9120,1.5708e+11,2.6448e+08
planet,9180,1.496e+11,2.7338e+08
dynamic,9180,1.5708e+11,2.6622e+08
planet,9240,1.496e+11,2.75167e+08
dynamic,9240,1.5708e+11,2.6796e+08
planet,9300,1.496e+11,2.76954e+08
dynamic,9300,1.5708e+11,2.697e+08
planet,9360,1.496e+11,2.78741e+08
dynamic,9360,1.5708e+11,2.7144e+08
planet,9420,1.496e+11,2.80527e+08
dynamic,9420,1.5708e+11,2.7318e+08
planet,9480,1.496e+11,2.82314e+08
dynamic,9480,1.5708e+11,2.7492e+08
planet,9540,1.496e+11,2.84101e+08
dynamic,9540,1.5708e+11,2.7666e+08
planet,9600,1.496e+11,2.85888e+08
dynamic,9600,1.5708e+11,2.784e+08
planet,9660,1.496e+11,2.87675e+08
dynamic,9660,1.5708e+11,2.8014e+08
planet,9720,1.496e+11,2.89461e+08
dynamic,9720,1.5708e+11,2.8188e+08
planet,9780,1.496e+11,2.91248e+08
dynamic,9780,1.5708e+11,2.8362e+08
planet,9840,1.496e+11,2.93035e+08
dynamic,9840,1.5708e+11,2.8536e+08
planet,9900,1.496e+11,2.94822e+08
dynamic,9900,1.5708e+11,2.871e+08
planet,9960,1.496e+11,2.96609e+08
dynamic,9960,1.5708e+11,2.8884e+08
planet,10020,1.496e+11,2.98395e+08
dynamic,10020,1.5708e+11,2.9058e+08
planet,10080,1.496e+11,3.00182e+08
dynamic,10080,1.5708e+11,2.9232e+08
planet,10140,1.496e+11,3.01969e+08
dynamic,10140,1.5708e+11,2.9406e+08
planet,10200,1.496e+11,3.03756e+08
dynamic,10200,1.5708e+11,2.958e+08
planet,10260,1.496e+11,3.05543e+08
dynamic,10260,1.5708e+11,2.9754e+08
planet,10320,1.496e+11,3.07329e+08
dynamic,10320,1.5708e+11,2.9928e+08
planet,10380,1.496e+11,3.09116e+08
dynamic,10380,1.5708e+11,3.0102e+08
planet,10440,1.496e+11,3.10903e+08
dynamic,10440,1.5708e+11,3.0276e+08
planet,10500,1.496e+11,3.1269e+08
dynamic,10500,1.5708e+11,3.045e+08
